Reference, Quantity, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
C1 ,1,"1uF","CAPC0603X33N","https://psearch.en.murata.com/capacitor/product/GRM033R61A105ME15%23.html","Capacitor GRM03_0.09 L=0.6mm W=0.3mm T=0.3mm","0.33","Murata Electronics","GRM033R61A105ME15J","81-GRM033R61A105ME5J","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM033R61A105ME15J?qs=5aG0NVq1C4ydTrRWdKcXxA%3D%3D"
C10 ,1,"330uF","CAPC3225X270N","http://psearch.en.murata.com/capacitor/product/GRM32ER71E226KE15%23.pdf","MURATA - GRM32ER60G337ME05K - CAP, MLCC, X5R, 330UF, 4V, 1210","2.7","Murata Electronics","GRM32ER60G337ME05K","81-GRM32ER60G337ME5K","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM32ER60G337ME05K?qs=qkDYIeTQ%252BEkpntsfMHJ5WA%3D%3D"
C11 C8 ,2,"20pf","CAPC0603X33N","https://componentsearchengine.com/Datasheets/1/GRM0335C1H200JA01D.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 20pF 50volts C0G +/-5%","0.33","Murata Electronics","GRM0335C1H200JA01D","81-GRM0335C1H200JA1D","https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM0335C1H200JA1D"
C12 ,1,"100uF","CAPC3216X180N","https://psearch.en.murata.com/capacitor/product/GRM31CR61A107ME05%23.html","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100UF   10V   20%         1206","1.8","Murata Electronics","GRM31CR61A107ME05L","81-GRM31CR61A107ME5L","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM31CR61A107ME05L?qs=chTDxNqvsylSo93CzdbYkQ%3D%3D"
C2 C3 C4 C5 C13 C9 ,6,"100nf","CAPC1608X100N","https://psearch.en.murata.com/capacitor/product/GCJ188L8EL104KA07%23.html","Multilayer Ceramic Capacitors MLCC - SMD/SMT","1","Murata Electronics","GCJ188L8EL104KA07D","81-GCJ188L8EL104KA7D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GCJ188L8EL104KA07D?qs=rrS6PyfT74fTpbPMbkPm2A%3D%3D"
C6 C7 ,2,"8PF","CAPC0603X33N","https://componentsearchengine.com/Datasheets/1/GRM0335C1E8R0CA01D.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 8.0pF 25volts C0G +/-0.25pF","0.33","Murata Electronics","GRM0335C1E8R0CA01D","81-GRM0335C1E8R0CA1D","https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM0335C1E8R0CA1D"
IC1 ,1,"SN65HVD230QDR","SOIC127P600X175-8N","http://www.ti.com/lit/gpn/SN65HVD230Q","3.3-V CAN Transceiver with Standby Mode","1.75","Texas Instruments","SN65HVD230QDR","595-SN65HVD230QDR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN65HVD230QDR?qs=QViXGNcIEAvSeznLG41lqg%3D%3D"
IC2 ,1,"STM32F103RCT6","QFP50P1200X1200X160-64N","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00191185.pdf","STM32F103RCT6, 32 bit ARM Cortex M3 Microcontroller 72MHz 256 kB Flash, 48 kB RAM, USB CAN I2C 64-Pin LQFP","1.6","STMicroelectronics","STM32F103RCT6","511-STM32F103RCT6","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32F103RCT6?qs=%252BB84zevwoRA6TYzZIgOIoA%3D%3D"
IC3 ,1,"REG1117-3.3","SOT230P700X180-4N","http://www.ti.com/lit/ds/symlink/reg1117-33.pdf","800mA,3.3V,LDO Voltage Reg.,REG1117-3.3 Texas Instruments REG1117-3.3, LDO Voltage Regulator, 0.8A, 3.3 V +/-1%, 3.8  15 Vin, 4-Pin SOT-223","1.8","Texas Instruments","REG1117-3.3","595-REG1117-3.3","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/REG1117-33?qs=sSOk4GDDv7y9bL0tER%2FZXw%3D%3D"
J1 ,1,"Boot Pins","TSW-103-XX-YY-D","http://suddendocs.samtec.com/prints/tsw-xxx-xx-xxx-x-xx-xxx-mkt.pdf","6 Position, Classic PCB Header Strips, 0.100&quot; pitch","","SAMTEC","TSW-103-07-T-D","200-TSW10307TD","https://www.mouser.co.uk/ProductDetail/Samtec/TSW-103-07-T-D?qs=hzq9O0YpnZtW9OBlDqG3zw%3D%3D"
J10 ,1,"Left Motor PWM","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
J11 ,1,"Power Input","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~"
J12 ,1,"SWD","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
J2 ,1,"CAN terminal","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~"
J3 ,1,"Righ Encoder","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
J4 ,1,"Left Encoder","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
J5 ,1,"CAN Molex","430450612","http://www.molex.com/webdocs/datasheets/pdf/en-us/0430450612_PCB_HEADERS.pdf","6 way 2 row vertical header,3mm pitch Molex MICRO-FIT 3.0 Series, Series Number 43045, 3mm Pitch 6 Way 2 Row Straight PCB Header, Solder Termination, 5A","9.91","Molex","43045-0612","538-43045-0612","https://www.mouser.co.uk/ProductDetail/Molex/43045-0612?qs=KC2ywxza1kqWo9LLJ5Lh3w%3D%3D"
J6 ,1,"Left Enable","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
J7 ,1,"Right Enable","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
J8 J13 ,2,"GPIO Pins","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical","~"
J9 ,1,"Right Motor PWM","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
LED1 ,1,"Power Indicator LED","LEDC2012X90N","https://componentsearchengine.com/Datasheets/1/LH R974-LP-1.pdf","Standard LEDs - SMD Hyper Red, 645nm 41mcd, 20mA","0.9","OSRAM","LH R974-LP-1","720-LHR974-LP-1","https://www.mouser.co.uk/ProductDetail/OSRAM-Opto-Semiconductors/LH-R974-LP-1?qs=LsPilcdHE7GU7OJxbROzng%3D%3D"
LED2 ,1,"LG_R971-KN-1","LEDC2012X80N","","Standard LEDs - SMD Green, 570nm 26mcd, 20mA","0.8","OSRAM","LG R971-KN-1","720-LGR971-KN-1","https://www.mouser.co.uk/ProductDetail/OSRAM-Opto-Semiconductors/LG-R971-KN-1?qs=LsPilcdHE7EX1EB7GCLHxg%3D%3D"
R1 R6 ,2,"100k","RESC1608X55N","","Thick Film Resistors - SMD 1/10Watt 100Kohms 1% Commercial Use","0.55","Vishay","CRCW0603100KFKEAC","71-CRCW0603100KFKEAC","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0603100KFKEAC?qs=E3Y5ESvWgWPxzfNYyMgX1w%3D%3D"
R10 ,1,"1M","RESC3216X60N","https://componentsearchengine.com/Datasheets/1/CRCW12061M00FKEAC.pdf","Thick Film Resistors - SMD 1/4Watt 1Mohms 1% Commercial Use","0.6","Vishay","CRCW12061M00FKEAC","71-CRCW12061M00FKEAC","https://www.mouser.com/Search/Refine.aspx?Keyword=71-CRCW12061M00FKEAC"
R2 R5 R9 R8 ,4,"10k","RESC1608X55N","https://componentsearchengine.com/Datasheets/1/CRCW060310K0FKEAC.pdf","Thick Film Resistors - SMD 1/10Watt 10Kohms 1% Commercial Use","0.55","Vishay","CRCW060310K0FKEAC","71-CRCW060310K0FKEAC","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW060310K0FKEAC?qs=E3Y5ESvWgWPkZNxkE0GwZg%3D%3D"
R3 ,1,"120","RESC3216X60N","http://componentsearchengine.com/Datasheets/1/CRCW1206120RFKEAC.pdf","Thick Film Resistors - SMD 1/4Watt 120ohms 1% Commercial Use","0.6","Vishay","CRCW1206120RFKEAC","71-CRCW1206120RFKEAC","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW1206120RFKEAC?qs=E3Y5ESvWgWNzKkdgimZfBg%3D%3D"
R4 R7 ,2,"510","RESC3216X60N","https://componentsearchengine.com/Datasheets/1/CRCW1206510RFKEAC.pdf","Thick Film Resistors - SMD 1/4Watt 510ohms 1% Commercial Use","0.6","Vishay","CRCW1206510RFKEAC","71-CRCW1206510RFKEAC","https://www.mouser.com/Search/Refine.aspx?Keyword=71-CRCW1206510RFKEAC"
Reset1 ,1,"Reset","LL3301NF065QG","http://spec_sheets.e-switch.com/specs/P090002.pdf","E-SWITCH - LL3301NF065QG - TACTILE SW, SPST, 0.05A, 12VDC, SOLDER","4","E-Switch","LL3301NF065QG","612-LL3301NF065QG","https://www.mouser.co.uk/ProductDetail/E-Switch/LL3301NF065QG?qs=QtyuwXswaQiWhwgY68YTTw%3D%3D"
Y1 ,1,"32.768KHZ","ABS2532000KHZT","https://abracon.com/Resonators/abs25.pdf","Abracon 32.768kHz Crystal Unit +/-10ppm SMD 4-Pin 8 x 3.8 x 2.5mm","2.5","ABRACON","ABS25-32.768KHZ-6-1-T","815-ABS25-32.7-6-1-T","https://www.mouser.co.uk/ProductDetail/ABRACON/ABS25-32768KHZ-6-1-T?qs=3LVMET7lfiORXXovA%252BX5Lg%3D%3D"
Y2 ,1,"8Mhz","LFXTAL057135Bulk","https://componentsearchengine.com/Datasheets/1/LFXTAL057135Bulk.pdf","Crystals 8MHz 16pF -40C 85C","4.1","IQD","LFXTAL057135Bulk","449-LFXTAL057135BULK","https://www.mouser.com/Search/Refine.aspx?Keyword=449-LFXTAL057135BULK"